date,HDE-Consumer Barometer,Income Expectations,Propensity to Buy,Propensity to Save,Price Expectations,Economic Expectations,Interest Rate Expectations 
1/2017,100,100,100,100,100,100,100
2/2017,100.99,101.82,101.91,98.91,101.22,102.78,98.92
3/2017,100.04,101.26,100.51,98.23,98.52,102.24,98.89
4/2017,102.19,102.89,104.49,100.06,98.58,105.89,98.62
5/2017,101.57,102.34,101.82,99.48,100.27,106.1,98.61
6/2017,102.55,101.86,104.65,101.52,100.45,105.38,99.83
7/2017,102.28,104.04,102,99.47,100.27,108.62,97.66
8/2017,101.62,102.95,104.72,96.53,99.4,106.42,99.94
9/2017,100.63,100.45,101.75,99.01,97.13,105.78,98.84
10/2017,101.31,102.22,104.39,97.75,95.86,107.43,97.94
11/2017,101.52,102.37,103.97,99.2,96.78,107.08,95.63
12/2017,100.96,101.67,102.72,99.11,96.41,105.04,98.74
1/2018,100.18,101.39,102.41,97.77,94.81,104.75,97.16
2/2018,101.02,102.07,101.28,98.4,98.09,108.15,96.33
3/2018,101.18,103.57,104.07,94.71,98.09,109.56,95.57
4/2018,101.5,104.24,103.45,98.37,99.15,104.78,94.28
5/2018,100.96,102.98,102.96,97.92,98.44,105.2,94.18
6/2018,101.31,104.02,105.88,95.57,97.91,105.5,95.67
7/2018,99.97,102.38,100.13,98.56,96.27,102.6,96.65
8/2018,101.43,103.56,105.24,97.88,99.1,102.93,95.75
9/2018,99.98,103.27,102.15,95.95,97.78,102.18,95.54
10/2018,100.49,102.9,102.18,98.56,94.46,103.36,97.64
11/2018,100.69,102.73,104.28,97.98,97.22,101.74,95.69
12/2018,100.12,103.55,104.04,96.52,95.82,100.66,94.76
1/2019,99.3,103.55,102.36,95.92,96.39,96.75,97.06
2/2019,99.76,103.57,99.85,97.08,100.11,99.82,95.23
3/2019,99.42,103.02,100.98,95.89,99.42,98.45,96.76
4/2019,101.14,105.16,106.47,94.79,100.69,100.09,96.65
5/2019,99.93,103.33,101.61,97.2,100.74,96.1,99.22
6/2019,100.03,103.29,103.88,97.59,97.65,95.91,97.73
7/2019,100.18,103.8,103.75,95.35,100.22,98.1,98.3
8/2019,99.73,102.02,101.34,97.88,99.98,95.43,101.85
9/2019,100.01,104.07,103.9,96.64,97.03,93.91,103.14
10/2019,99.74,101.5,101.7,97.41,99.84,93.24,109.14
11/2019,99.79,103.13,103.12,96.11,97.58,92.95,108.74
12/2019,99.33,101.49,103.39,96,97.95,93.7,105.01
1/2020,99.18,100.9,100.87,98.04,96.5,93.32,108.33
2/2020,99.28,102.12,99.6,97.53,98.17,95.22,104.88
3/2020,99.91,103.46,104.57,94.89,97.3,95.67,104.23
4/2020,96.66,98.52,100.62,97.53,96.55,79.44,109.78
5/2020,90.53,89.24,87.17,101.13,95.75,64.17,111.63
6/2020,93.51,94.74,94.53,97.98,92.85,75.32,107.45
7/2020,96.34,96.87,96.21,99.16,98.27,83.91,106.63
8/2020,98.14,96.58,97.1,100.59,107.07,87.32,105.71
9/2020,98.34,100.13,100.05,96.16,103.48,88.6,106.38
10/2020,98.66,100.02,100.73,95.87,101.18,93.39,104.46
11/2020,98.09,99.18,100.55,98.02,99.55,87.89,105.22
12/2020,95.64,96.63,97.28,99.25,98.3,76.78,107.73
1/2021,94.93,96.35,94.77,97.58,98.16,80.1,105.68
2/2021,94.36,97.06,94.68,95.83,94.01,80.76,106.75
3/2021,95.54,98.71,97.24,95.81,96.28,82.36,103.69
4/2021,96.56,98.67,102.87,96.21,92.78,84.35,101.5
5/2021,97.34,100.6,103.5,96.83,91.96,83.88,104.5
6/2021,97.65,99.55,101.89,96.34,89.03,94.82,102.06
7/2021,100.8,102.24,104.94,95.72,88.19,111.84,99.35
8/2021,100.38,100.27,104.39,97.8,88.2,108.2,101.36
9/2021,98.39,100.2,99.79,97.5,86.25,102.79,101.47
10/2021,98.01,99.16,101.04,97.45,83.9,102.22,100.45
11/2021,98.18,100.8,101.72,96.69,82.02,101.59,102.3
12/2021,95.36,96.39,98.7,97.92,77.99,94.12,102.03
1/2022,95.04,97.82,97.44,97.29,79.59,90.68,102.85
2/2022,94.62,101.11,86.21,102.87,87.58,84.32,107.87
3/2022,94.5,99.97,86.79,105.42,84.46,84.1,104.03
4/2022,89.56,89.6,82.98,112.1,73.47,68.21,108.49
5/2022,88.74,90.16,81.81,111.67,72.36,67.3,102.9
6/2022,89.61,92.09,80.76,111.92,75.09,70.57,100.37
7/2022,89.5,92.21,80.93,113.79,71.64,70.24,96.79
8/2022,86.56,86.75,75.66,114.69,72.62,67.43,90.76
9/2022,86.28,85.84,75.51,114.63,74.92,66.42,89.13
10/2022,84.14,81.11,68.76,121.13,70.86,61.67,91.24
11/2022,85.21,83.45,72.63,118.6,71.02,64.75,86.94
12/2022,87.8,88.54,74.48,118.08,76.06,68.66,87.35
1/2023,88.54,86.52,74.87,118.03,79.49,72.15,91.69
