Tag,filename,Month,Level
1,1996,Januar,437.0
2,1996,Januar,397.0
3,1996,Januar,368.0
4,1996,Januar,354.0
5,1996,Januar,346.0
6,1996,Januar,328.0
7,1996,Januar,315.0
8,1996,Januar,302.0
9,1996,Januar,292.0
10,1996,Januar,289.0
11,1996,Januar,288.0
12,1996,Januar,285.0
13,1996,Januar,280.0
14,1996,Januar,275.0
15,1996,Januar,263.0
16,1996,Januar,260.0
17,1996,Januar,242.0
18,1996,Januar,234.0
19,1996,Januar,229.0
20,1996,Januar,222.0
21,1996,Januar,214.0
22,1996,Januar,205.0
23,1996,Januar,198.0
24,1996,Januar,190.0
25,1996,Januar,180.0
26,1996,Januar,172.0
27,1996,Januar,170.0
28,1996,Januar,162.0
29,1996,Januar,166.0
30,1996,Januar,159.0
31,1996,Januar,153.0
1,1997,Januar,292.0
2,1997,Januar,268.0
3,1997,Januar,249.0
4,1997,Januar,241.0
5,1997,Januar,234.0
6,1997,Januar,230.0
7,1997,Januar,227.0
8,1997,Januar,216.0
9,1997,Januar,211.0
10,1997,Januar,202.0
11,1997,Januar,197.0
12,1997,Januar,195.0
13,1997,Januar,193.0
14,1997,Januar,184.0
15,1997,Januar,177.0
16,1997,Januar,171.0
17,1997,Januar,164.0
18,1997,Januar,164.0
19,1997,Januar,162.0
20,1997,Januar,164.0
21,1997,Januar,169.0
22,1997,Januar,228.0
23,1997,Januar,272.0
24,1997,Januar,254.0
25,1997,Januar,267.0
26,1997,Januar,298.0
27,1997,Januar,310.0
28,1997,Januar,297.0
29,1997,Januar,282.0
30,1997,Januar,268.0
31,1997,Januar,248.0
1,1998,Januar,413.0
2,1998,Januar,383.0
3,1998,Januar,361.0
4,1998,Januar,366.0
5,1998,Januar,422.0
6,1998,Januar,449.0
7,1998,Januar,453.0
8,1998,Januar,473.0
9,1998,Januar,462.0
10,1998,Januar,431.0
11,1998,Januar,398.0
12,1998,Januar,366.0
13,1998,Januar,331.0
14,1998,Januar,319.0
15,1998,Januar,299.0
16,1998,Januar,281.0
17,1998,Januar,265.0
18,1998,Januar,271.0
19,1998,Januar,299.0
20,1998,Januar,319.0
21,1998,Januar,400.0
22,1998,Januar,453.0
23,1998,Januar,453.0
24,1998,Januar,417.0
25,1998,Januar,378.0
26,1998,Januar,342.0
27,1998,Januar,317.0
28,1998,Januar,293.0
29,1998,Januar,274.0
30,1998,Januar,259.0
31,1998,Januar,245.0
1,1999,Januar,309.0
2,1999,Januar,293.0
3,1999,Januar,286.0
4,1999,Januar,279.0
5,1999,Januar,289.0
6,1999,Januar,319.0
7,1999,Januar,327.0
8,1999,Januar,326.0
9,1999,Januar,324.0
10,1999,Januar,342.0
11,1999,Januar,394.0
12,1999,Januar,417.0
